,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
91,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,6GQgW4wSD7Q,2020-06-15T13:24:48Z,131438,5531,46,39
92,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,gVED2BEEemo,2020-06-13T18:22:35Z,498903,15357,186,266
93,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,_HHCOyc8-Fk,2020-06-13T16:38:46Z,119008,5404,41,35
94,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,RWMYM0Yu8_g,2020-06-12T12:10:33Z,192466,7124,64,84
95,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,lEU5zI2mVp4,2020-06-09T18:45:25Z,96253,3841,35,42
96,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,vBuU8Fw1ibY,2020-06-08T20:35:44Z,614571,13826,220,278
97,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Xb3N5hvZLt0,2020-06-07T14:48:38Z,450398,9608,138,108
98,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,sjyr54amE9w,2020-06-06T08:25:34Z,110456,4094,44,37
99,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,nBT-rt0jNlM,2020-06-04T15:59:27Z,77057,2874,25,23
100,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,PkoZKQn-iak,2020-06-04T07:20:40Z,129700,4217,45,46
101,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,uCHA8-MzGQ8,2020-06-01T19:32:13Z,148896,4998,51,26
102,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,P1AG3xlPu1s,2020-05-31T04:19:40Z,117456,4373,33,27
103,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,IW3lmQdEj8g,2020-05-29T17:30:50Z,72007,2720,28,20
104,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,tZX7crs6Rrk,2020-05-27T14:48:34Z,116593,3979,28,30
105,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,b73ZBzWjitM,2020-05-21T15:11:40Z,123965,3676,33,37
106,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,anTvpN3_xgQ,2020-05-16T19:58:23Z,121523,4643,41,44
107,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,v9d00PvQ9gc,2020-05-16T14:07:28Z,58253,2344,21,11
