,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
54,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,CeT4N_mXJZQ,2020-08-27T16:52:50Z,119048,7777,28,37
55,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,m_4qG-NRDTc,2020-08-26T17:37:41Z,59789,4168,16,11
56,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,ni5JGCD068w,2020-08-26T07:03:22Z,57014,5194,9,41
57,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,yRGBf8E_dbs,2020-08-25T18:13:28Z,79342,6331,29,44
58,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,qpSPzfStwFo,2020-08-24T15:50:10Z,94103,5603,17,16
59,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,YDv0xEyZ1pg,2020-08-23T16:50:51Z,84219,5509,21,31
60,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,OlTROyRHbq4,2020-08-18T18:21:17Z,36854,3472,12,30
61,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,SAwnMRDuQpE,2020-08-18T17:33:04Z,64404,4870,15,21
62,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,a2J-OMo89l0,2020-08-18T07:54:57Z,76465,5442,22,16
63,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,rsVjc-eOK4I,2020-08-17T04:04:11Z,113189,6516,29,43
64,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,xVJfDcc2OCo,2020-08-16T21:38:01Z,101273,5887,43,31
65,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,eD4A-zY6m-o,2020-08-15T17:14:33Z,67072,4993,14,18
66,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,NR45GF79vu8,2020-08-15T12:15:20Z,56069,4376,10,14
67,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,X0SJ5OiGLpg,2020-08-13T18:19:41Z,105717,6562,37,48
68,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,Pp4pgzsh_7M,2020-08-13T08:12:07Z,58615,4566,11,26
69,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,TfbCDVHcsaQ,2020-08-12T20:19:19Z,287733,12055,65,92
70,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,ueXYI_BRlOU,2020-08-12T15:35:53Z,227899,12069,47,97
71,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,50kxq2dt-RU,2020-08-10T18:47:43Z,73009,4956,24,40
72,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,FWfQVNZPsm0,2020-08-09T11:26:41Z,90236,5272,35,31
73,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,8TCXJxabHqY,2020-08-08T10:12:57Z,173566,10772,66,32
74,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,JViiOuW5pJE,2020-08-08T08:31:21Z,91739,5137,31,43
75,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,RldKP4dY21c,2020-08-06T15:40:48Z,42452,4298,17,32
76,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,n1U1zH0rhUE,2020-08-06T07:27:12Z,83233,5160,33,19
77,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,Olp9AQMw2J8,2020-08-05T17:47:18Z,45001,3237,13,8
78,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,cceTnsSZ2B0,2020-08-04T19:36:51Z,100205,5710,29,36
79,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,f1lhm77EbnU,2020-08-04T03:35:03Z,61026,5236,15,68
80,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,rSM9dazTFjU,2020-08-03T17:22:19Z,44272,3242,10,12
81,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,7Y70ZxP9MIo,2020-08-02T19:15:58Z,51204,3415,18,11
82,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,ksibIwekaDs,2020-08-02T09:38:02Z,51281,3368,25,8
83,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,n9Y9KlruGaI,2020-08-01T18:44:48Z,41787,3675,10,22
84,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,bd3F3MnHynU,2020-08-01T12:19:45Z,45908,3266,22,6
85,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,hliaICGRlwo,2020-07-31T14:51:13Z,35017,2847,16,22
86,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,gA_LqSTkzTs,2020-07-30T10:13:25Z,29423,2524,24,30
87,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,X5i456ZIdLw,2020-07-28T19:12:24Z,56369,3624,25,22
88,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,g7Yi0v_6Lr4,2020-07-27T18:07:13Z,66860,3931,19,20
89,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,BioyHHHFJbk,2020-07-26T20:01:28Z,90855,4785,24,17
90,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,27LFj8cFDGI,2020-07-25T16:02:41Z,23866,2263,10,13
91,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,78LwWfztzwM,2020-07-25T13:09:04Z,55742,4167,15,31
92,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,hOD9-y-A_FY,2020-07-25T07:38:34Z,42994,3076,10,14
93,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,fQrfeQoV9yo,2020-07-24T17:12:02Z,81109,4340,23,22
94,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,RNV-0geyTBg,2020-07-23T18:19:31Z,57334,3780,9,12
95,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,cNysH6wkMPk,2020-07-20T12:21:01Z,39809,2822,13,14
96,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,QtQ2Q1iYUiw,2020-07-20T07:19:56Z,71489,3685,41,15
97,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,vGXJn1BSAr0,2020-07-19T20:00:38Z,67846,3732,20,13
